Source.Name	Characteristics.Subject.ID.	Characteristics.Strain.	Characteristics.Organism.	Term.Source.REF	Term.Accession.Number	Characteristics.Sex.	Factor.Value.Age.	Characteristics.AgeUnit.	Term.Source.REF.1	Term.Accession.Number.1	Characteristics.Organ.	Term.Source.REF.2	Term.Accession.Number.2	Characteristics.Tissue.	Term.Source.REF.3	Term.Accession.Number.3	Characteristics.Cell.	Term.Source.REF.4	Term.Accession.Number.4	Characteristics.Assay.Type.	Characteristics.Biological.Replicate.	Characteristics.Technical.Replicate.	Factor.Value.Compound.	Term.Source.REF.5	Term.Accession.Number.5	Characteristics.StdInChIKey.	Comment.chEMBL.ID.	Characteristics.Eniantiomer.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Term.Source.REF.6	Term.Accession.Number.6	Factor.Value.Dose.Duration.	Characteristics.Dose.DurationUnit.	Term.Source.REF.7	Term.Accession.Number.7	Factor.Value.Dose.Frequency.	Characteristics.Vehicle.	Characteristics.Route.	Term.Source.REF.8	Term.Accession.Number.8	Factor.Value.Sample.TimePoint.	Characteristics.Sample.TimePointUnit.	Term.Source.REF.9	Term.Accession.Number.9	Characteristics.Treatment.Group.	Protocol.REF	Sample.Name
griseofulvin_0.67_75_1	93812	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_0.67	75	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_0.67_75_1
griseofulvin_0.67_75_2	93855	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_0.67	75	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_0.67_75_2
griseofulvin_0.67_75_3	93864	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_0.67	75	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_0.67_75_3
griseofulvin_1_75_1	93858	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_1	75	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_1_75_1
griseofulvin_1_75_2	93891	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_1	75	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_1_75_2
griseofulvin_1_75_3	94217	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	griseofulvin	CHEBI	27779	DDUHZTYCFQRHIY-RBHXEPJQSA-N	CHEMBL562	NA	NA	FALSE	control_1	75	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	griseofulvin_1_75_3
haloperidol_0.67_77_1	93105	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_0.67	77	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_0.67_77_1
haloperidol_0.67_77_2	93136	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_0.67	77	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_0.67_77_2
haloperidol_0.67_77_3	93250	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_0.67	77	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_0.67_77_3
haloperidol_1_77_1	93089	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_1	77	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_1_77_1
haloperidol_1_77_2	93200	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_1	77	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_1_77_2
haloperidol_1_77_3	93241	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	haloperidol	CHEBI	5613	LNEPOXFFQSENCJ-UHFFFAOYSA-N	CHEMBL54	NA	NA	FALSE	control_1	77	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	haloperidol_1_77_3
idarubicin_0.67_1.5_1	93007	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_0.67	1.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_0.67_1.5_1
idarubicin_0.67_1.5_2	93122	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_0.67	1.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_0.67_1.5_2
idarubicin_0.67_1.5_3	93218	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_0.67	1.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_0.67_1.5_3
idarubicin_1_1.5_1	93035	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_1	1.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_1_1.5_1
idarubicin_1_1.5_2	93557	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_1	1.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_1_1.5_2
idarubicin_1_1.5_3	93845	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	idarubicin	CHEBI	42068	XDXDZDZNSLXDNA-TZNDIEGXSA-N	CHEMBL1117	NA	NA	FALSE	control_1	1.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	idarubicin_1_1.5_3
ifosfamide_0.67_11000_1	93125	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_0.67	11000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_0.67_11000_1
ifosfamide_0.67_11000_2	93197	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_0.67	11000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_0.67_11000_2
ifosfamide_0.67_11000_3	93226	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_0.67	11000	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_0.67_11000_3
ifosfamide_1_11000_1	93178	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_1	11000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_1_11000_1
ifosfamide_1_11000_2	93580	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_1	11000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_1_11000_2
ifosfamide_1_11000_3	95508	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	ifosfamide	CHEBI	5864	HOMGKSMUEGBAAB-UHFFFAOYSA-N	CHEMBL1024	NA	NA	FALSE	control_1	11000	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	ifosfamide_1_11000_3
imatinib_0.67_15_1	95959	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_0.67	15	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_0.67_15_1
imatinib_0.67_15_2	95969	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_0.67	15	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_0.67_15_2
imatinib_0.67_15_3	96013	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_0.67	15	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_0.67_15_3
imatinib_1_15_1	95953	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_1	15	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_1_15_1
imatinib_1_15_2	95960	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_1	15	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_1_15_2
imatinib_1_15_3	95970	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	imatinib	CHEBI	45783	KTUFNOKKBVMGRW-UHFFFAOYSA-N	CHEMBL941	NA	NA	FALSE	control_1	15	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	imatinib_1_15_3
isotretinoin_0.67_500_1	93329	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_0.67	500	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_0.67_500_1
isotretinoin_0.67_500_2	93354	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_0.67	500	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_0.67_500_2
isotretinoin_0.67_500_3	93462	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_0.67	500	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_0.67_500_3
isotretinoin_1_500_1	93314	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_1_500_1
isotretinoin_1_500_2	93374	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_1_500_2
isotretinoin_1_500_3	93461	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	isotretinoin	CHEBI	6067	SHGAZHPCJJPHSC-XFYACQKRSA-N	CHEMBL547	NA	NA	FALSE	control_1	500	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	isotretinoin_1_500_3
itraconazole_0.67_10_1	93080	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_0.67	10	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_0.67_10_1
itraconazole_0.67_10_2	93186	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_0.67	10	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_0.67_10_2
itraconazole_0.67_10_3	93585	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_0.67	10	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_0.67_10_3
itraconazole_1_10_1	93003	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_1	10	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_1_10_1
itraconazole_1_10_2	93138	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_1	10	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_1_10_2
itraconazole_1_10_3	93220	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	itraconazole	CHEBI		VHVPQPYKVGDNFY-ZPGVKDDISA-N	CHEMBL22587	NA	NA	FALSE	control_1	10	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	itraconazole_1_10_3
kanamycin_0.67_6584_1	93541	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_0.67	6584	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_0.67_6584_1
kanamycin_0.67_6584_2	93642	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_0.67	6584	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_0.67_6584_2
kanamycin_0.67_6584_3	93680	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_0.67	6584	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_0.67_6584_3
kanamycin_1_6584_1	93518	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_1	6584	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_1_6584_1
kanamycin_1_6584_2	93526	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_1	6584	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_1_6584_2
kanamycin_1_6584_3	93544	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	kanamycin A	CHEBI	17630	SBUJHOSQTJFQJX-NOAMYHISSA-N	CHEMBL1384	NA	NA	FALSE	control_1	6584	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	kanamycin_1_6584_3
